release,year,album,upc,title,track,isrc
,2023,Tone in C Major,,Tone in C Major,1,QZXKT2300101
,2024,Requirements Gathering in N-Dimensional Space,,Requirements Gathering in N-Dimensional Space,1,QZXKT2400037
1,2011,Undecidable,885767506688,Opus 1,1,QMYYH1100001
1,2011,Undecidable,885767506688,Opus 2,2,QMYYH1100002
1,2011,Undecidable,885767506688,Sample and Hold 2,3,QMYYH1100003
1,2011,Undecidable,885767506688,Segnahc Cigam,4,QMYYH1100004
1,2011,Undecidable,885767506688,Sample and Hold 1,5,QMYYH1100005
1,2011,Undecidable,885767506688,Opus 6,6,QMYYH1100006
2,2023,Dum Vivimus,198015910503,2600 Redux,1,QZXKT2300001
2,2023,Dum Vivimus,198015910503,Dum Vivimus,2,QZXKT2300002
2,2023,Dum Vivimus,198015910503,Vivamus,3,QZXKT2300003
2,2023,Dum Vivimus,198015910503,Sliders and Knobs,4,QZXKT2300004
2,2023,Dum Vivimus,198015910503,and Cables,5,QZXKT2300005
2,2023,Dum Vivimus,198015910503,One Modulator to Rule Them All,6,QZXKT2300006
2,2023,Dum Vivimus,198015910503,Sonatina in No Particular Key Part 1,7,QZXKT2300007
2,2023,Dum Vivimus,198015910503,Noise to Signal,8,QZXKT2300008
3,2023,Untitled,198015912095,Untitled,1,QZXKT2300009
3,2023,Untitled,198015912095,Whoop Whoop,2,QZXKT2300010
3,2023,Untitled,198015912095,Ring of Sines and a Square,3,QZXKT2300011
4,2023,Songs Not Yet and No Longer Sung,198015955498,Sonatina in No Particular Key Pt. 2,1,QZXKT2300012
4,2023,Songs Not Yet and No Longer Sung,198015955498,Fire and Forget,2,QZXKT2300013
4,2023,Songs Not Yet and No Longer Sung,198015955498,Divergence,3,QZXKT2300014
4,2023,Songs Not Yet and No Longer Sung,198015955498,Douse and Remember,4,QZXKT2300015
4,2023,Songs Not Yet and No Longer Sung,198015955498,Faerie,5,QZXKT2300016
4,2023,Songs Not Yet and No Longer Sung,198015955498,Múspellsheimr,6,QZXKT2300017
4,2023,Songs Not Yet and No Longer Sung,198015955498,Niflheimr,7,QZXKT2300018
4,2023,Songs Not Yet and No Longer Sung,198015955498,Lament,8,QZXKT2300019
4,2023,Songs Not Yet and No Longer Sung,198015955498,Ostinato,9,QZXKT2300020
5,2023,March,198025013270,March,1,QZXKT2300021
5,2023,March,198025013270,Ludwig van Synthpop,2,QZXKT2300022
5,2023,March,198025013270,E Minor Tune,3,QZXKT2300023
6,2023,April,198025078903,Sonatina in No Particular Key Part 3,1,QZXKT2300025
6,2023,April,198025078903,Krell National Anthem,2,QZXKT2300024
6,2023,April,198025078903,Triad,3,QZXKT2300026
6,2023,April,198025078903,Iaulath Berúthiel,4,QZXKT2300027
6,2023,April,198025078903,Sinusoidal Syncopation,5,QZXKT2300029
6,2023,April,198025078903,PWM,6,QZXKT2300030
6,2023,April,198025078903,"Fall, Rise",7,QZXKT2300028
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Analogy in C Minor,1,QZXKT2300036
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Regret,2,QZXKT2300032
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,π,3,QZXKT2300031
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,YNBBB,4,QZXKT2300033
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Chicxulub,5,QZXKT2300035
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Rainy Day Fanfare,6,QZXKT2300037
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,"At His Heels, Leashed In Like Hounds",7,QZXKT2300038
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Crouched for Employment,8,QZXKT2300039
7,2023,No Chatbots Were Harmed in the Making of This Album,198025252013,Analogy in C Major,9,QZXKT2300034
8,2023,Ambivalence,198025421488,Effulgence,1,QZXKT2300045
8,2023,Ambivalence,198025421488,Vigilance,2,QZXKT2300040
8,2023,Ambivalence,198025421488,Perseverance,3,QZXKT2300041
8,2023,Ambivalence,198025421488,Coherence,4,QZXKT2300042
8,2023,Ambivalence,198025421488,Reluctance,5,QZXKT2300043
8,2023,Ambivalence,198025421488,Ebullience,6,QZXKT2300044
8,2023,Ambivalence,198025421488,Somnambulance,7,QZXKT2300046
8,2023,Ambivalence,198025421488,Emergence,8,QZXKT2300047
8,2023,Ambivalence,198025421488,Disturbance,9,QZXKT2300049
8,2023,Ambivalence,198025421488,Transcendence,10,QZXKT2300048
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Floating Theater,1,QZXKT2300050
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Mount Vesuvius,2,QZXKT2300051
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Soliloquy,3,QZXKT2300052
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Dramma Bernesco,4,QZXKT2300053
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Ghostly Reminiscences,5,QZXKT2300054
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Au Quai,6,QZXKT2300055
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Farandole Lamentoso (8-bit mix),7,QZXKT2300056
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Farandole Lamentoso (2600 remix),8,QZXKT2300057
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Steamboatman,9,QZXKT2300058
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Foggy River,10,QZXKT2300059
9,2023,The Modern Temple of Amusement (Volume 1),198025591679,Decommissioned,11,QZXKT2300060
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 1,12,QZXKT2300061
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 2,13,QZXKT2300062
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 3,14,QZXKT2300063
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 4,15,QZXKT2300064
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 5,16,QZXKT2300065
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 6,17,QZXKT2300066
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 7,18,QZXKT2300067
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 8,19,QZXKT2300068
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 9,20,QZXKT2300069
9,2023,The Modern Temple of Amusement (Volume 2),198025591679,Repercussions 10,21,QZXKT2300070
10,2023,Album 10,198025739965,Incipio ex regulum,1,QZXKT2300071
10,2023,Album 10,198025739965,Introduction,2,QZXKT2300072
10,2023,Album 10,198025739965,Variation 1,3,QZXKT2300073
10,2023,Album 10,198025739965,Interlude 1,4,QZXKT2300074
10,2023,Album 10,198025739965,Variation 2,5,QZXKT2300075
10,2023,Album 10,198025739965,Interlude 2,6,QZXKT2300076
10,2023,Album 10,198025739965,Variation 3,7,QZXKT2300077
10,2023,Album 10,198025739965,Interlude 3,8,QZXKT2300078
10,2023,Album 10,198025739965,Recapitulation,9,QZXKT2300079
10,2023,Album 10,198025739965,Reductio ad absurdum,10,QZXKT2300080
10,2023,Album 10,198025739965,Epilogue,11,QZXKT2300081
11,2023,Rhythms,198025759802,Rhythm 1,1,QZXKT2300082
11,2023,Rhythms,198025759802,Rhythm 2,2,QZXKT2300083
11,2023,Rhythms,198025759802,Rhythm 3,3,QZXKT2300084
11,2023,Rhythms,198025759802,Rhythm 4,4,QZXKT2300085
11,2023,Rhythms,198025759802,Rhythm 5,5,QZXKT2300086
11,2023,Rhythms,198025759802,Rhythm 6,6,QZXKT2300087
11,2023,Rhythms,198025759802,Euclidean Tablas and Random Drones,7,QZXKT2300088
11,2023,Rhythms,198025759802,Sinfonietta for Cowbell Orchestra,8,QZXKT2300089
11,2023,Rhythms,198025759802,"Concerto for Cowbell, Low Percussion and Manic Choir",9,QZXKT2300090
11,2023,Rhythms,198025759802,Farandole in Tempore Belli,10,QZXKT2300091
12,2023,Digitalis,198025865497,Digitalis in C Minor,1,QZXKT2300092
12,2023,Digitalis,198025865497,Poison,2,QZXKT2300093
12,2023,Digitalis,198025865497,Synaesthesia,3,QZXKT2300094
12,2023,Digitalis,198025865497,Chromatic Parrots,4,QZXKT2300095
12,2023,Digitalis,198025865497,Shuffle Off,5,QZXKT2300096
12,2023,Digitalis,198025865497,Tethyc Tempo,6,QZXKT2300097
12,2023,Digitalis,198025865497,Tethyc Melody,7,QZXKT2300098
12,2023,Digitalis,198025865497,"Arise, Fair Sun",8,QZXKT2300099
13,2023,XIII,198053826262,Undine,1,QZXKT2300100
13,2023,XIII,198053826262,I Alone Am Left,2,QZXKT2300102
13,2023,XIII,198053826262,Whistling Gongs,3,QZXKT2300103
13,2023,XIII,198053826262,Y. A. M. P.,4,QZXKT2300104
13,2023,XIII,198053826262,Tower of Sines,5,QZXKT2300105
13,2023,XIII,198053826262,Lean To,6,QZXKT2300106
13,2023,XIII,198053826262,Contrary Trigonometry,7,QZXKT2300107
13,2023,XIII,198053826262,Growling Bells,8,QZXKT2300108
13,2023,XIII,198053826262,Schoenbergian Steampunk,9,QZXKT2300109
13,2023,XIII,198053826262,Twelvish Tones,10,QZXKT2300110
13,2023,XIII,198053826262,Twelvish More Tones,11,QZXKT2300111
13,2023,XIII,198053826262,Without Indication,12,QZXKT2300112
13,2023,XIII,198053826262,XII,13,QZXKT2300113
14,2023,Empyrean,198027297876,Whom the Gods Destroy,1,QZXKT2300114
14,2023,Empyrean,198027297876,They First Make Mad,2,QZXKT2300115
14,2023,Empyrean,198027297876,Steady State,3,QZXKT2300116
14,2023,Empyrean,198027297876,Traces Through the Cloud Chamber,4,QZXKT2300117
14,2023,Empyrean,198027297876,Unsteady State (Steady State Redux),5,QZXKT2300118
14,2023,Empyrean,198027297876,Noisy Melody,6,QZXKT2300119
14,2023,Empyrean,198027297876,"Ready, Steady",7,QZXKT2300120
14,2023,Empyrean,198027297876,Airy Fairy,8,QZXKT2300121
14,2023,Empyrean,198027297876,March of the Airy Fairies,9,QZXKT2300122
14,2023,Empyrean,198027297876,Migration,10,QZXKT2300123
15,2023,Tangents and Sines and Rings,198089504462,Black and White and Pink All Over,1,QZXKT2300124
15,2023,Tangents and Sines and Rings,198089504462,Tangents and Sines and Rings,2,QZXKT2300125
15,2023,Tangents and Sines and Rings,198089504462,Drunken Calliope,3,QZXKT2300126
15,2023,Tangents and Sines and Rings,198089504462,Uncertain,4,QZXKT2300127
15,2023,Tangents and Sines and Rings,198089504462,471,5,QZXKT2300128
15,2023,Tangents and Sines and Rings,198089504462,Successive Unrefinement,6,QZXKT2300129
15,2023,Tangents and Sines and Rings,198089504462,Contrary Refinement,7,QZXKT2300130
15,2023,Tangents and Sines and Rings,198089504462,Fibonacci,8,QZXKT2300131
15,2023,Tangents and Sines and Rings,198089504462,Nautilus,9,QZXKT2300132
15,2023,Tangents and Sines and Rings,198089504462,"Holding Saws, Playing Sines",10,QZXKT2300133
15,2023,Tangents and Sines and Rings,198089504462,Echoing Pingala,11,QZXKT2300134
15,2023,Tangents and Sines and Rings,198089504462,Range of Motion,12,QZXKT2300135
15,2023,Tangents and Sines and Rings,198089504462,Poesy,13,QZXKT2300136
15,2023,Tangents and Sines and Rings,198089504462,Greed's Meed,14,QZXKT2300137
15,2023,Tangents and Sines and Rings,198089504462,Anxiety,15,QZXKT2300138
16,2023,Baraboo to Dubuque,198088353832,Baraboo to Dubuque,1,QZXKT2300139
17,2023,Baraboo to Dubuque (2600 Mix),198088334046,Baraboo to Dubuque (2600 Mix),1,QZXKT2300140
18,2023,Driftless,198089343887,Baraboo to Dubuque,1,QZXKT2300139
18,2023,Driftless,198089343887,Baraboo to Dubuque (2600 Mix),2,QZXKT2300140
18,2023,Driftless,198089343887,House On the Rock,3,QZXKT2300141
18,2023,Driftless,198089343887,Driftless,4,QZXKT2300142
18,2023,Driftless,198089343887,Taliesin,5,QZXKT2300143
18,2023,Driftless,198089343887,Bridge Over the Great River,6,QZXKT2300144
18,2023,Driftless,198089343887,The Storehouse of River Lore,7,QZXKT2300145
18,2023,Driftless,198089343887,The Unvisited Cavern,8,QZXKT2300146
19,2023,The Doctrine of Shareholder Value,198090343913,The Maundering Orator,1,QZXKT2300147
19,2023,The Doctrine of Shareholder Value,198090343913,The Marketplace of 'Ideas',2,QZXKT2300148
19,2023,The Doctrine of Shareholder Value,198090343913,A Conclave of Populist Fantasists,3,QZXKT2300149
19,2023,The Doctrine of Shareholder Value,198090343913,Antisocial Media,4,QZXKT2300150
19,2023,The Doctrine of Shareholder Value,198090343913,Narcissus,5,QZXKT2300151
19,2023,The Doctrine of Shareholder Value,198090343913,Sycophants,6,QZXKT2300152
19,2023,The Doctrine of Shareholder Value,198090343913,Intended Consequences,7,QZXKT2300153
19,2023,The Doctrine of Shareholder Value,198090343913,The Three Branches,8,QZXKT2300154
19,2023,The Doctrine of Shareholder Value,198090343913,One Master,9,QZXKT2300155
19,2023,The Doctrine of Shareholder Value,198090343913,Consensual Reality,10,QZXKT2300156
20,2023,Duodecatonic,198093234317,Duodecatonic,1,QZXKT2300157
20,2023,Duodecatonic,198093234317,Randomly Rubato Wandering Chromatics,2,QZXKT2300158
20,2023,Duodecatonic,198093234317,Cognitive Dissonance,3,QZXKT2300159
20,2023,Duodecatonic,198093234317,Duodecahexate,4,QZXKT2300160
20,2023,Duodecatonic,198093234317,Surjection,5,QZXKT2300161
20,2023,Duodecatonic,198093234317,"Continuum Hypothesis, Pt. 1",6,QZXKT2300162
20,2023,Duodecatonic,198093234317,"Continuum Hypothesis, Pt. 2",7,QZXKT2300163
20,2023,Duodecatonic,198093234317,"Continuum Hypothesis, Pt. 3",8,QZXKT2300164
20,2023,Duodecatonic,198093234317,"Continuum Hypothesis, Pt. 4",9,QZXKT2300165
20,2023,Duodecatonic,198093234317,"Continuum Hypothesis, Pt. 5",10,QZXKT2300166
20,2023,Duodecatonic,198093234317,"Continuum Hypothesis, Pt. 6",11,QZXKT2300167
20,2023,Duodecatonic,198093234317,Unodecatonic,12,QZXKT2300168
21,2023,Down to the Wire,193667836836,Rotating Shuffled Major Triads,1,QZXKT2300169
21,2023,Down to the Wire,193667836836,Rotating Shuffled Minor Triads,2,QZXKT2300170
21,2023,Down to the Wire,193667836836,Surging,3,QZXKT2300171
21,2023,Down to the Wire,193667836836,Disequilibrium,4,QZXKT2300172
21,2023,Down to the Wire,193667836836,Shuffling Chromatic Triads,5,QZXKT2300173
21,2023,Down to the Wire,193667836836,Lambda X Dot X of X,6,QZXKT2300174
21,2023,Down to the Wire,193667836836,Cross Product,7,QZXKT2300175
21,2023,Down to the Wire,193667836836,Through Caverns Measureless,8,QZXKT2300176
22,2023,Ringing the Changes,19798688864,Aleph Null,1,QZXKT2300177
22,2023,Ringing the Changes,19798688864,Yuletide,2,QZXKT2300178
22,2023,Ringing the Changes,19798688864,Solstice,3,QZXKT2300179
22,2023,Ringing the Changes,19798688864,Mixolydian Harmonies,4,QZXKT2300180
22,2023,Ringing the Changes,19798688864,Aeolian Counterpoint,5,QZXKT2300181
22,2023,Ringing the Changes,19798688864,Dorian Light Pink,6,QZXKT2300182
22,2023,Ringing the Changes,19798688864,Mixed Hesitant Tempos,7,QZXKT2300183
22,2023,Ringing the Changes,19798688864,Krampuslauf 1,8,QZXKT2300184
22,2023,Ringing the Changes,19798688864,Krampuslauf 2,9,QZXKT2300185
22,2023,Ringing the Changes,19798688864,Niklaus,10,QZXKT2300186
23,2024,McFarland Souvenir (for Sean and Mary),19307750037,McFarland Souvenir (for Sean and Mary),1,QZXKT2400002
24,2024,Ante Annus Novus,198078467266,13 Times 5,1,QZXKT2300187
24,2024,Ante Annus Novus,198078467266,Reversal,2,QZXKT2300188
24,2024,Ante Annus Novus,198078467266,Ozymandias,3,QZXKT2300189
24,2024,Ante Annus Novus,198078467266,Postquam Prior Annus,4,QZXKT2400001
24,2024,Ante Annus Novus,198078467266,McFarland Souvenir (for Sean and Mary),5,QZXKT2400002
24,2024,Ante Annus Novus,198078467266,Resonant Filter Sweep,6,QZXKT2400003
24,2024,Ante Annus Novus,198078467266,Inverted Rings,7,QZXKT2400004
24,2024,Ante Annus Novus,198078467266,Surging Counterpoint,8,QZXKT2400005
24,2024,Ante Annus Novus,198078467266,Rippling Counterpoint,9,QZXKT2400006
24,2024,Ante Annus Novus,198078467266,Panopticon,10,QZXKT2400007
24,2024,Ante Annus Novus,198078467266,Prime,11,QZXKT2400008
24,2024,Ante Annus Novus,198078467266,Lares Compitales,12,QZXKT2400009
24,2024,Ante Annus Novus,198078467266,l'Enfant Terrible,13,QZXKT2400010
24,2024,Ante Annus Novus,198078467266,Running Out the Clock,14,QZXKT2400011
25,2024,2024-02,198085040643,2024-02-11-01,1,QZXKT2400012
25,2024,2024-02,198085040643,2024-02-11-02,2,QZXKT2400013
25,2024,2024-02,198085040643,2024-02-15-01,3,QZXKT2400014
25,2024,2024-02,198085040643,2024-02-15-02,4,QZXKT2400015
25,2024,2024-02,198085040643,2024-02-17-01,5,QZXKT2400016
25,2024,2024-02,198085040643,2024-02-17-02,6,QZXKT2400017
25,2024,2024-02,198085040643,2024-02-17-03,7,QZXKT2400018
25,2024,2024-02,198085040643,2024-02-17-04,8,QZXKT2400019
25,2024,2024-02,198085040643,2024-02-20,9,QZXKT2400020
25,2024,2024-02,198085040643,2024-02-24,10,QZXKT2400021
26,2024,Ill Considered,198879730378,Traversing the Abyss,1,QZXKT2400031
26,2024,Ill Considered,198879730378,Interference Pattern 1,2,QZXKT2400032
26,2024,Ill Considered,198879730378,Requiescat,3,QZXKT2400033
26,2024,Ill Considered,198879730378,Interference Pattern 2,4,QZXKT2400034
26,2024,Ill Considered,198879730378,Hobbled Promenade,5,QZWFW2452961
26,2024,Ill Considered,198879730378,Chirping Conclave,6,QZXKT2400038
26,2024,Ill Considered,198879730378,Yowling Conclave,7,QZXKT2400039
26,2024,Ill Considered,198879730378,Ignoble Conclave,8,QZXKT2400040
26,2024,Ill Considered,198879730378,Portentous Conclave,9,QZXKT2400041
26,2024,Ill Considered,198879730378,Contentious Conclave,10,QZXKT2400042
26,2024,Ill Considered,198879730378,Anxious Conclave,11,QZXKT2400043
26,2024,Ill Considered,198879730378,Not a Minuet,12,QZXKT2400022
26,2024,Ill Considered,198879730378,Not a Sarabande,13,QZXKT2400023
26,2024,Ill Considered,198879730378,Not a Gigue,14,QZXKT2400024
26,2024,Ill Considered,198879730378,Not a Waltz,15,QZXKT2400025
26,2024,Ill Considered,198879730378,Tetragrammaton,16,QZXKT2400026
26,2024,Ill Considered,198879730378,Not a Passacaglia,17,QZXKT2400027
26,2024,Ill Considered,198879730378,Also Not a Minuet,18,QZXKT2400028
26,2024,Ill Considered,198879730378,Navel Gazing,19,QZXKT2400029
27,2024,Westlake Souvenir (for Michael and Julie),198879724230,Westlake Souvenir (for Michael and Julie),1,QZXKT2400036
28,2024,Plot,198878921234,Plot,1,QZXKT2400044
29,2024,Inverse Saws and Modulated Sines,198878918272,Inverse Saws and Modulated Sines,1,QZXKT2400045
30,2024,Crunchy,198878916636,Crunchy,1,QZXKT2400046
31,2024,Arrhythmia,198878910436,Arrhythmia,1,QZXKT2400047
32,2024,For Dennis,198878904169,For Dennis,1,QZXKT2400048
33,2024,Dueling Pulse Width Drones,198878558379,Dueling Pulse Width Drones,1,QZXKT2400049
34,2024,Returns 11-05-2024,198877923833,Returns 11-05-2024,1,QZXKT2400050
35,2024,Alienated,198877763064,Alienated,1,QZXKT2400051
36,2024,Sequences,198877373034,Sequence in Three Ranges,1,QZXKT2400052
36,2024,Sequences,198877373034,Sequence in Four Ranges,2,QZXKT2400053
36,2024,Sequences,198877373034,Sinuous Sequence,3,QZXKT2400054
36,2024,Sequences,198877373034,Unstable Sequence,4,QZXKT2400055
36,2024,Sequences,198877373034,Divided Sequence,5,QZXKT2400056
36,2024,Sequences,198877373034,Messy Sequence,6,QZXKT2400057
36,2024,Sequences,198877373034,Filter Sequence,7,QZXKT2400058
37,2024,The House of the Ratchet,198876776744,The House of the Ratchet,1,QZXKT2400059
38,2024,Promenade,198876608564,Promenade,1,QZXKT2400060
39,2024,Thrumming,198876248173,Thrumming,1,QZXKT2400061
40,2024,Sequence in Two Ranges,198875464826,Sequence in Two Ranges,1,QZXKT2400062
41,2024,Tempi Diversi,199078637697,Tempi Diversi,1,QZXKT2400063
42,2024,Tentative Sequence,199082713226,Tentative Sequence,1,QZXKT2400064
43,2024,For David,199090998127,February 16,1,QZXKT2400065
43,2024,For David,199090998127,November 23,2,QZXKT2400066
43,2024,For David,199090998127,For As Long,3,QZXKT2400067
44,2024,"Up, Down",199096993669,"Up, Down",1,QZXKT2400068
44,2024,"Up, Down",199096993669,Undulations,2,QZXKT2400069
44,2024,"Up, Down",199096993669,"Lengthen, Shorten",3,QZXKT2400070
44,2024,"Up, Down",199096993669,Anechoic Reverberations 1,4,QZXKT2400071
44,2024,"Up, Down",199096993669,Anechoic Reverberations 2,5,QZXKT2400072
44,2024,"Up, Down",199096993669,Anechoic Reverberations 3,6,QZXKT2400073
44,2024,"Up, Down",199096993669,Anechoic Reverberations 4,7,QZXKT2400074
45,2024,Chant,199096579740,Chant One,1,QZXKT2400075
45,2024,Chant,199096579740,Chant Two,2,QZXKT2400076
45,2024,Chant,199096579740,Chant Three,3,QZXKT2400077
45,2024,Chant,199096579740,Chant Four,4,QZXKT2400078
45,2024,Chant,199096579740,Chant Five,5,QZXKT2400079
45,2024,Chant,199096579740,Chant Six,6,QZXKT2400080
45,2024,Chant,199096579740,Chant Seven,7,QZXKT2400081
46,2025,2025,199087680967,Property Of MAGA,1,QZXKT2500001
46,2025,2025,199087680967,2025,2,QZXKT2500002
46,2025,2025,199087680967,Elephant In The Room,3,QZXKT2500003
46,2025,2025,199087680967,The Felon In Chief,4,QZXKT2500004
46,2025,2025,199087680967,Broken Oaths,5,QZXKT2500005
46,2025,2025,199087680967,This Again…,6,QZXKT2500006
46,2025,2025,199087680967,…Only Worse,7,QZXKT2500007
47,2025,Tympanic Nerve,199085149473,"Tympanic Nerve, Pt. 1",1,QZXKT2500008
47,2025,Tympanic Nerve,199085149473,"Tympanic Nerve, Pt. 2",2,QZXKT2500009
47,2025,Tympanic Nerve,199085149473,"Tympanic Nerve, Pt. 3",3,QZXKT2500010
47,2025,Tympanic Nerve,199085149473,"Tympanic Nerve, Pt. 4",4,QZXKT2500011
47,2025,Tympanic Nerve,199085149473,"Tympanic Membrane, Pt. 1",5,QZXKT2500012
47,2025,Tympanic Nerve,199085149473,"Tympanic Membrane, Pt. 2",6,QZXKT2500013
47,2025,Tympanic Nerve,199085149473,"Tympanic Membrane, Pt. 3",7,QZXKT2500014
48,2025,Blank Verse,199083156343 ,Blank Verse,1,QZXKT2500015
48,2025,Blank Verse,199083156343,Monotonous Prosody,2,QZXKT2500016
48,2025,Blank Verse,199083156343,Iamb Schmiamb,3,QZXKT2500017
48,2025,Blank Verse,199083156343,Wrong Foot,4,QZXKT2500018
48,2025,Blank Verse,199083156343,Untouched,5,QZXKT2500019
48,2025,Blank Verse,199083156343,Free Radicals,6,QZXKT2500020
48,2025,Blank Verse,199083156343,Groove,7,QZXKT2500021
49,2025,The Second Coming,199078429407,Things Fall Apart,1,QZXKT2500022
49,2025,The Second Coming,199078429407,The Center Cannot Hold,2,QZXKT2500023
49,2025,The Second Coming,199078429407,Anarchy Is Loosed,3,QZXKT2500024
49,2025,The Second Coming,199078429407,The Blood-Dimmed Tide,4,QZXKT2500025
49,2025,The Second Coming,199078429407,Innocence Is Drowned,5,QZXKT2500026
49,2025,The Second Coming,199078429407,The Best Lack All Conviction,6,QZXKT2500027
49,2025,The Second Coming,199078429407,The Worst Are Full of Passionate Intensity,7,QZXKT2500028
49,2025,The Second Coming,199078429407,Blank and Pitiless,8,QZXKT2500029
49,2025,The Second Coming,199078429407,What Rough Beast?,9,QZXKT2500030
49,2025,The Second Coming,199078429407,Slouches Toward Bethlehem,10,QZXKT2500031